State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Churn_binary,Total_charge,Avg_Day_Call_Duration,Avg_Eve_Call_Duration,Avg_Night_Call_Duration,Avg_Intl_Call_Duration,Cust_Serv_Call_Rate,TotalServices,EngagementScore,CS_Calls_x_DayCharge,IntlPlan_x_IntlMins,IsNewCustomer,IsPremium,Total_Minutes,Day_Min_Per_Call,Intl_Plan_Bin,Critical_Intl_Interaction,Log_Total_Minutes,Account_Length_Sq
KS,128,415,No,Yes,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,False,0,75.56,2.41,1.993939393939394,2.689010989010989,3.3333333333333335,0.0078125,2,256,45.07,0.0,0,1,717.2,2.409999780909111,0,0,6.576748081791982,16384
OH,107,415,No,Yes,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,False,0,59.24000000000001,1.313821138211382,1.8980582524271845,2.469902912621359,4.566666666666666,0.009345794392523364,2,214,27.47,0.0,0,0,625.2,1.313821031396664,0,0,6.4396698088923054,11449
NJ,137,415,No,No,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,False,0,62.290000000000006,2.135087719298246,1.1018181818181818,1.5634615384615385,2.44,0.0,1,137,0.0,0.0,0,1,539.4000000000001,2.1350875320098655,0,0,6.292309606086044,18769
OH,84,408,Yes,No,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,False,0,66.8,4.2169014084507035,0.7034090909090909,2.2123595505617977,0.9428571428571428,0.023809523809523808,2,168,101.8,6.6,0,1,564.8,4.216900814521011,1,2,6.338240658867467,7056
OK,75,415,Yes,No,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,False,0,52.089999999999996,1.475221238938053,1.2155737704918033,1.5446280991735537,3.3666666666666667,0.04,2,150,85.02,10.1,0,0,512.0,1.4752211083875124,1,3,6.240275845170769,5625
AL,118,510,Yes,No,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,False,0,67.61,2.279591836734694,2.1841584158415843,1.7279661016949153,1.05,0.0,2,236,0.0,6.3,0,1,654.1999999999999,2.2795916041233055,1,0,6.484940532538859,13924
MA,121,510,No,Yes,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,False,0,78.31,2.4795454545454545,3.2268518518518516,1.8016949152542372,1.0714285714285714,0.024793388429752067,2,242,111.27000000000001,0.0,0,1,786.8000000000001,2.4795451727789573,0,0,6.6692442505368055,14641
MO,147,415,Yes,No,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,False,0,46.900000000000006,1.9873417721518987,1.0968085106382979,2.2062500000000003,1.1833333333333333,0.0,2,294,0.0,7.1,0,0,479.00000000000006,1.987341520589681,1,0,6.173786103901937,21609
WV,141,415,Yes,Yes,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,False,0,80.53999999999999,3.0785714285714287,2.0,3.364948453608247,2.2399999999999998,0.0,3,423,0.0,11.2,0,1,818.2,3.078571062074874,1,0,6.708328254285243,19881
RI,74,415,No,No,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,False,0,57.08,1.4779527559055117,1.104054054054054,2.0851063829787235,1.8199999999999998,0.0,1,74,0.0,0.0,0,0,556.2,1.477952639531288,0,0,6.322924241905651,5476
