iter	Passed	Remaining
0	156	156303
1	158	79283
2	160	53443
3	162	40502
4	164	32713
5	166	27511
6	167	23802
7	170	21092
8	172	18963
9	174	17228
10	175	15812
11	177	14631
12	179	13617
13	181	12751
14	182	12004
15	184	11361
16	186	10799
17	188	10293
18	190	9830
19	192	9414
20	193	9035
21	195	8690
22	197	8374
23	198	8090
24	200	7830
25	203	7609
26	205	7389
27	206	7181
28	208	6985
29	210	6801
30	212	6627
31	213	6467
32	215	6317
33	217	6183
34	219	6056
35	221	5936
36	223	5818
37	225	5704
38	227	5594
39	228	5492
40	230	5393
41	232	5297
42	234	5215
43	236	5139
44	238	5063
45	240	4985
46	242	4911
47	243	4838
48	245	4770
49	247	4702
50	249	4641
51	251	4587
52	253	4529
53	255	4473
54	257	4416
55	258	4362
56	260	4311
57	262	4259
58	264	4211
59	266	4169
60	268	4127
61	269	4084
62	271	4041
63	273	3999
64	275	3960
65	277	3920
66	278	3882
67	280	3845
68	282	3814
69	284	3782
70	286	3747
71	288	3714
72	289	3681
73	291	3649
74	293	3617
75	295	3587
76	296	3558
77	299	3535
78	301	3509
79	302	3482
80	304	3456
81	306	3430
82	308	3403
83	309	3377
84	311	3351
85	313	3329
86	315	3308
87	317	3287
88	319	3265
89	320	3244
90	322	3221
91	323	3194
92	325	3173
93	327	3154
94	329	3136
95	331	3123
96	333	3107
97	335	3088
98	337	3069
99	339	3051
100	340	3033
101	342	3016
102	344	2999
103	346	2983
104	347	2960
105	349	2944
106	350	2928
107	352	2912
108	354	2896
109	356	2881
110	357	2866
111	359	2853
112	361	2840
113	363	2827
114	365	2815
115	367	2801
116	369	2788
117	371	2775
118	373	2762
119	374	2749
120	376	2735
121	378	2724
122	380	2715
123	382	2702
124	384	2690
125	386	2677
126	387	2665
127	389	2653
128	391	2642
129	393	2630
130	395	2620
131	397	2611
132	398	2600
133	400	2590
134	402	2579
135	404	2568
136	406	2557
137	408	2549
138	410	2540
139	412	2532
140	414	2523
141	415	2513
142	417	2503
143	419	2493
144	421	2483
145	422	2474
146	424	2464
147	426	2457
148	429	2450
149	430	2442
150	432	2432
151	434	2423
152	436	2414
153	438	2406
154	440	2399
155	441	2390
156	444	2384
157	446	2379
158	448	2371
159	450	2363
160	451	2354
161	453	2346
162	455	2338
163	457	2329
164	459	2323
165	461	2318
166	463	2310
167	464	2298
168	465	2290
169	467	2282
170	469	2275
171	471	2267
172	472	2260
173	474	2253
174	477	2248
175	478	2242
176	480	2235
177	482	2227
178	484	2220
179	485	2213
180	487	2206
181	489	2199
182	491	2193
183	493	2188
184	495	2181
185	497	2175
186	498	2168
187	500	2161
188	502	2154
189	503	2148
190	505	2142
191	507	2136
192	509	2132
193	511	2126
194	513	2119
195	515	2113
196	516	2106
197	518	2100
198	520	2094
199	522	2088
200	524	2084
201	526	2081
202	528	2075
203	530	2069
204	532	2063
205	533	2057
206	535	2051
207	537	2046
208	539	2039
209	540	2034
210	543	2030
211	544	2025
212	546	2019
213	548	2013
214	549	2008
